;MEA_test;MEA_train;R2_test;R2_train;MSE_test;MSE_train;R_test;R_train;RMSE_test;RMSE_train
RidgeCV_pca_log;0.32511905563564514;0.3239046742260258;0.44852327826902316;0.47725380784282323;0.17872841003019416;0.17551774929583586;0.6697188053720928;0.6908355866939856;0.4227628295276137;0.4189483850020619
Lasso_pca_log;0.4045310705041197;0.4143281589054377;0.1972722784601918;0.18744538576412606;0.2601564920231728;0.27282409553687403;0.4441534402210477;0.43294963421179383;0.5100553813294914;0.5223256604235273
LassoCV_pca_log;0.3237747337713172;0.3324053615563822;0.45151513795335696;0.4544845179662502;0.17775877649292354;0.18316278731267696;0.6719487614047346;0.6741546691718824;0.42161448800168566;0.42797521810576483
Ridge_rfe_log;0.33994090010821376;0.3372458990699352;0.41759905863311453;0.43651432456959594;0.18875065827596268;0.18919647621699193;0.6462190484913878;0.6606923070307357;0.4344544375144104;0.4349672128068872
RidgeCV_rfe_log;0.33701832389631303;0.3432977157517146;0.42558697881810437;0.41897402679400275;0.1861618485985022;0.1950858229664087;0.6523702773870866;0.6472820303345388;0.43146477098194497;0.44168520800045896
Lasso_rfe_log;0.45382142193597175;0.4642192821419712;-0.00022969111246329277;0.0;0.32416501968823025;0.3357609331816271;;0.0;0.5693549153983218;0.5794488184314703
LassoCV_rfe_log;0.3371655339192957;0.33975411052659776;0.4226558649333816;0.42668378483189284;0.18711179499440736;0.19249718741300217;0.6501198850468901;0.6532103679764222;0.4325642091001142;0.4387450141175421
Ridge_skb_log;0.3275982694522337;0.32512441106404416;0.445983878930456;0.47663145882316316;0.17955140543204767;0.17572670978344157;0.6678202444748557;0.6903850076755456;0.4237350651433602;0.41919769773156146
RidgeCV_skb_log;0.32531880660570206;0.3314950163315245;0.45655869631362045;0.45866817883785704;0.17612420674391402;0.18175807743431077;0.675691272929894;0.6772504550296419;0.4196715462643542;0.4263309482483189
Lasso_skb_log;0.45382142193597175;0.4642192821419712;-0.00022969111246329277;0.0;0.32416501968823025;0.3357609331816271;;0.0;0.5693549153983218;0.5794488184314703
LassoCV_skb_log;0.3247752997202427;0.3330097199156495;0.45745808448520997;0.45219222392809943;0.17583272351067147;0.18393245009805315;0.6763564773735888;0.6724523952876511;0.41932412703143074;0.42887346630218703
Ridge_sfm_log;0.33321097120975;0.320569424985821;0.43347204058642697;0.48537315823118565;0.18360637436485064;0.17279158863261065;0.6583859358965887;0.6966872743427898;0.428493143894801;0.41568207639085264
RidgeCV_sfm_log;0.3259917868221444;0.3258750035886014;0.4533270773349679;0.4715315086716153;0.1771715440096921;0.17743907380550505;0.6732956834370527;0.6866815190986396;0.4209175026174275;0.4212351763629256
Lasso_sfm_log;0.45382142193597175;0.4642192821419712;-0.00022969111246329277;0.0;0.32416501968823025;0.3357609331816271;;0.0;0.5693549153983218;0.5794488184314703
