features;RFE;SelectKBest;SelectFromModel
Charakterystyka tendencji_13;;;
Charakterystyka tendencji_14;;;
Charakterystyka tendencji_15;;;
Charakterystyka tendencji_16;;;
Charakterystyka tendencji_17;;;
Charakterystyka tendencji_18;;;
Charakterystyka tendencji_19;;;
Charakterystyka tendencji_20;;;
Charakterystyka tendencji_21;;;
Charakterystyka tendencji_22;;;
Charakterystyka tendencji_23;;;
Wartość tendencji_0;;;X
Wartość tendencji_1;;;X
Wartość tendencji_2;;;X
Wartość tendencji_3;;;X
Wartość tendencji_4;;;
Wartość tendencji_5;;;X
Wartość tendencji_6;;;X
Wartość tendencji_7;X;;X
Wartość tendencji_8;X;;X
Wartość tendencji_9;X;;X
Wartość tendencji_10;;;X
Wartość tendencji_11;;;X
Wartość tendencji_12;;;X
Wartość tendencji_13;;;
Wartość tendencji_14;;;X
Wartość tendencji_15;;;X
Wartość tendencji_16;;;X
Wartość tendencji_17;;;X
Wartość tendencji_18;;;X
Wartość tendencji_19;;;
Wartość tendencji_20;;;
Wartość tendencji_21;;;
Wartość tendencji_22;X;;X
Wartość tendencji_23;;;X
Temperatura punktu rosy_0;;X;X
Temperatura punktu rosy_1;;X;X
Temperatura punktu rosy_2;;X;X
Temperatura punktu rosy_3;;X;
Temperatura punktu rosy_4;;X;
Temperatura punktu rosy_5;;X;X
Temperatura punktu rosy_6;;X;X
Temperatura punktu rosy_7;;X;
Temperatura punktu rosy_8;;X;
Temperatura punktu rosy_9;;X;
Temperatura punktu rosy_10;;X;
Temperatura punktu rosy_11;;X;X
Temperatura punktu rosy_12;X;X;X
Temperatura punktu rosy_13;;X;X
Temperatura punktu rosy_14;;X;X
Temperatura punktu rosy_15;;X;
Temperatura punktu rosy_16;;X;X
Temperatura punktu rosy_17;;X;X
Temperatura punktu rosy_18;;X;X
Temperatura punktu rosy_19;;X;
Temperatura punktu rosy_20;X;X;X
Temperatura punktu rosy_21;;X;
Temperatura punktu rosy_22;X;X;X
Temperatura punktu rosy_23;X;X;X
PM10;X;X;X
PM10_h_2;;X;
PM10_h_3;;X;X
PM10_h_4;X;X;X
PM10_h_5;X;X;X
PM10_h_6;X;;X
PM10_h_7;;;X
PM10_h_8;;;X
PM10_h_9;;X;X
PM10_h_10;;X;X
PM10_h_11;;X;
PM10_h_12;;X;X
PM10_h_13;X;X;X
PM10_h_14;;X;X
PM10_h_15;;X;
PM10_h_16;;X;
PM10_h_17;;X;X
PM10_h_18;X;X;X
PM10_h_19;;X;X
PM10_h_20;;X;
PM10_h_21;;X;X
PM10_h_22;;X;X
PM10_h_23;X;X;X
PM10_h_0;;X;
PM10_h_1;;X;
Dzień tygodnia;;;X
PM10_prev;X;X;X
