;Miesiąc;Maksymalna temperatura dobowa;Minimalna temperatura dobowa;Średnia temperatura dobowa;Temperatura minimalna przy gruncie;Suma dobowa opadu;Wysokość pokrywy śnieżnej;Równoważnik wodny śniegu;Usłonecznienie;Czas trwania opadu deszczu;Czas trwania opadu śniegu;Czas trwania opadu deszczu ze śniegiem;Czas trwania gradu;Czas trwania mgły;Czas trwania zamglenia;Czas trwania sadzi;Czas trwania gołoledzi;Czas trwania zamieci śnieżnej niskiej;Czas trwania zamieci śnieżnej wysokiej;Czas trwania zmętnienia;Czas trwania wiatru >=10m/s;Czas trwania wiatru >15m/s;Czas trwania burzy;Czas trwania rosy;Czas trwania szronu;Wystąpienie pokrywy śnieżnej;Izoterma dolna;Izoterma górna;Aktynometria;Miesiąc;Średnie dobowe zachmurzenie ogólne;Średnia dobowa prędkość wiatru;Średnia dobowe ciśnienie pary wodnej;Średnia dobowa wilgotność względna;Średnia dobowe ciśnienie na poziomie stacji;Średnie dobowe ciśnienie na pozimie morza;Suma opadu dzień;Suma opadu noc;PM10;Dzień tygodnia;PM10_prev;PM10_next
2001-03-29;3.0;5.1;-4.5;0.4;-8.0;0.0;0.0;0.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.4;8.6;4.2;66.0;1005.3;1018.7;0.0;0.0;34.1;3;39.7;40.3
2001-04-03;4.0;20.5;3.9;13.1;2.4;0.0;0.0;0.0;9.4;0.0;0.0;0.0;0.0;0.0;2.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;3.4;2.8;9.2;65.3;1004.7;1017.5;0.0;0.0;90.5;1;40.3;37.2
2001-04-04;4.0;19.1;3.2;11.1;0.9;0.0;0.0;0.0;9.3;0.5;0.0;0.0;0.0;0.0;6.3;0.0;0.0;0.0;0.0;1.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;3.3;2.1;9.2;70.4;1000.5;1013.4;0.0;0.0;37.2;2;90.5;36
2001-04-09;4.0;14.7;5.2;6.7;4.8;10.2;0.0;0.0;0.0;20.8;0.0;0.0;0.0;0.0;10.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;7.9;5.5;9.3;94.0;1001.6;1014.7;9.0;1.2;21.1;0;37.2;20.5
2001-04-10;4.0;7.3;3.9;5.4;3.7;1.8;0.0;0.0;2.1;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;7.8;2.8;7.8;87.5;1002.5;1015.7;0.2;1.6;20.5;1;21.1;39.7
2001-04-11;4.0;8.6;4.4;5.9;4.5;0.0;0.0;0.0;0.0;6.5;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;6.9;2.4;8.2;88.3;1002.3;1015.4;0.0;0.0;39.7;2;20.5;26
2001-04-12;4.0;8.8;0.5;3.8;-1.1;1.4;0.0;0.0;2.5;3.7;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;5.4;3.8;7.1;88.0;1001.0;1014.2;1.4;0.0;26;3;39.7;40.3
2001-04-18;4.0;10.3;-0.5;6.0;-2.0;0.6;0.0;0.0;6.5;2.1;0.0;0.0;0.0;0.0;3.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;5.8;2.9;7.2;79.0;994.5;1007.5;0.4;0.2;42.2;2;33.5;31
2001-04-23;4.0;10.7;5.0;6.6;5.4;3.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;8.0;3.3;9.1;94.1;986.7;999.6;0.0;3.8;33.5;0;45.3;24.2
2001-04-24;4.0;7.3;5.4;6.5;5.6;12.2;0.0;0.0;0.0;17.4;0.0;0.0;0.0;0.0;18.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;8.0;5.8;9.4;96.5;995.2;1008.2;10.2;2.0;24.2;1;33.5;42.8
2001-04-25;4.0;14.4;6.4;9.4;6.7;0.0;0.0;0.0;8.7;0.0;0.0;0.0;0.0;2.0;9.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;5.5;1.6;11.0;93.6;1002.6;1015.6;0.0;0.0;42.8;2;24.2;30.4
2001-05-08;5.0;20.6;12.8;16.5;12.2;0.0;0.0;0.0;14.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.9;4.5;11.2;61.5;1007.6;1020.4;0.0;0.0;32.9;1;29.1;27.3
2001-05-09;5.0;20.9;8.8;15.9;5.3;0.0;0.0;0.0;13.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;2.4;3.8;9.1;51.9;1010.5;1023.3;0.0;0.0;27.3;2;32.9;22.3
2001-05-15;5.0;23.9;8.6;17.5;5.8;0.0;0.0;0.0;12.3;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;4.3;4.4;9.9;51.6;996.0;1008.6;0.0;0.0;44.6;1;34.1;35.3
2001-05-16;5.0;22.1;12.6;17.1;12.1;11.2;0.0;0.0;11.0;1.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;5.6;2.4;14.2;73.9;997.6;1010.2;11.2;0.0;35.3;2;44.6;39.1
2001-05-21;5.0;15.7;7.7;11.6;6.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;5.0;5.1;8.4;62.5;1007.3;1020.3;0.0;0.0;31.6;0;29.8;41.5
2001-05-22;5.0;13.9;3.0;9.0;0.6;0.0;0.0;0.0;12.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;2.8;2.8;6.0;53.6;1009.6;1022.7;0.0;0.0;41.5;1;31.6;28.5
2001-05-23;5.0;19.2;2.1;12.1;-1.1;0.0;0.0;0.0;14.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;5.0;0.9;1.6;7.6;57.5;1012.7;1025.7;0.0;0.0;28.5;2;41.5;41.5
