;MEA_test;MEA_train;R2_test;R2_train;MSE_test;MSE_train;R_test;R_train;RMSE_test;RMSE_train
RidgeCV_rfe_log;0.3451291328892934;0.36004809099561785;0.406019449311686;0.3775461531137503;0.19250350056510532;0.20899568449302083;0.6371965546922598;0.6144478440956159;0.4387522086156437;0.4571604581468314
Lasso_rfe_log;0.45382142193597175;0.4642192821419712;-0.00022969111246329277;0.0;0.32416501968823025;0.3357609331816271;;0.0;0.5693549153983218;0.5794488184314703
LassoCV_rfe_log;0.33049129352257955;0.3335100728500256;0.43844008964734793;0.4480578980610158;0.1819962764683821;0.18532059520926208;0.6621480873999017;0.6693712707167943;0.4266102160853419;0.4304887863920059
Ridge_skb_log;0.3317902149950237;0.34205545374913954;0.4448313682534053;0.429620866486777;0.1799249232846336;0.19151103013572765;0.6669567963919442;0.6554547020860991;0.4241755807264647;0.4376197323427357
RidgeCV_skb_log;0.3469232192155992;0.36583807006529606;0.3990888563602857;0.3612419909264446;0.19474964044727883;0.2144699852037752;0.6317347990733815;0.6010341013007869;0.4413044758976265;0.4631090424552032
Lasso_skb_log;0.45382142193597175;0.4642192821419712;-0.00022969111246329277;0.0;0.32416501968823025;0.3357609331816271;;0.0;0.5693549153983218;0.5794488184314703
LassoCV_skb_log;0.3326117728849535;0.34735271442806276;0.44202206672722755;0.4136066759793444;0.1808353914427331;0.19688796968465155;0.6648474010833069;0.6431225979386391;0.42524744730889696;0.443720598670663
Ridge_sfm_log;0.3219032463684234;0.32449966615096093;0.4604881700994219;0.47562176421399016;0.17485070130965524;0.17606572578764595;0.6785927866544279;0.6896533652596717;0.41815152912509507;0.41960186580572534
RidgeCV_sfm_log;0.3312730522886713;0.34456828706362347;0.44054169052037895;0.41939962949842347;0.18131516742469314;0.19494292220520776;0.6637331470707026;0.6476107082950555;0.42581118752880737;0.4415234107102451
Lasso_sfm_log;0.45382142193597175;0.4642192821419712;-0.00022969111246329277;0.0;0.32416501968823025;0.3357609331816271;;0.0;0.5693549153983218;0.5794488184314703
LassoCV_sfm_log;0.32291763956076275;0.33056610847719886;0.46382779183281875;0.45863359191264996;0.17376836136856255;0.1817696903725942;0.6810490377592635;0.6772249197368995;0.41685532426558086;0.4263445676592985
