;mean_fit_time;mean_score_time;mean_test_score;mean_train_score;param_max_depth;param_n_estimators;params;rank_test_score;split0_test_score;split0_train_score;split1_test_score;split1_train_score;split2_test_score;split2_train_score;std_fit_time;std_score_time;std_test_score;std_train_score
4;4.787449598312378;0.0051699479420979815;0.41714126322753237;0.8412232065729554;10;25;{'max_depth': 10, 'n_estimators': 25};11;0.4222637802712601;0.8470944602587722;0.397780655700853;0.84176276904328;0.4313925861365835;0.8348123904168139;0.009221366731779326;0.00023562900117833765;0.014191217025382731;0.005028628417718079
11;6.421127160390218;0.007330735524495442;0.41669431407354873;0.8995874606955799;15;25;{'max_depth': 15, 'n_estimators': 25};12;0.42905598124301025;0.8959535780600382;0.3991909248071278;0.9007205860298388;0.4218408147226429;0.9020882179968628;0.022348232695172297;0.0004688106081933505;0.012725193914461162;0.0026295033188767046
16;4.821159283320109;0.006003777186075847;0.41415825906037224;0.8980949162702606;20;17;{'max_depth': 20, 'n_estimators': 17};13;0.4064166984357294;0.8967301851820284;0.4175965353179968;0.901637486993822;0.4184655427623041;0.8959170766349315;0.021150617067344276;0.00040870648733650297;0.005486860802239047;0.0025268744693680346
15;4.239920059839885;0.005503018697102864;0.41219076985287617;0.8983083078401083;20;15;{'max_depth': 20, 'n_estimators': 15};14;0.4086363678536654;0.8992908295275569;0.40224702515171973;0.9020543317559719;0.4257014612992476;0.8935797622367961;0.009860293995597742;0.0004047933394312462;0.009899025411447668;0.0035287952413976444
17;5.71121883392334;0.006330331166585286;0.4064429686587535;0.9054331760782394;20;20;{'max_depth': 20, 'n_estimators': 20};15;0.4180220317476277;0.9091445671870173;0.3854272757763035;0.9100935845262186;0.4158883685543679;0.897061376521482;0.10439124762749642;0.00023965715186312638;0.01488928734050843;0.005932421053915929
1;2.8748274644215903;0.003831942876180013;0.4004565542407967;0.8298139998068556;10;15;{'max_depth': 10, 'n_estimators': 15};16;0.4150915004870302;0.8323131377355707;0.3630254172833379;0.8321027562689031;0.4232739310028689;0.8250261054160929;0.007254713157592233;0.0002406707198100387;0.026683840670523304;0.0033866418581638955
8;3.855032761891683;0.005173603693644206;0.3941337468642565;0.8925003924564994;15;15;{'max_depth': 15, 'n_estimators': 15};17;0.40755872041055763;0.8921795305463347;0.37897578192883213;0.8943603529108557;0.3958683488401725;0.8909612939123077;0.006911530071975825;0.00024046183940354496;0.011734958169586841;0.0014060855338962337
9;4.397329092025757;0.0056705474853515625;0.3929991692527188;0.8927004081247901;15;17;{'max_depth': 15, 'n_estimators': 17};18;0.4124576071979612;0.8925384622903167;0.3774433098569959;0.8925113575110637;0.3890929637714619;0.89305140457299;0.025082634890330496;0.00047266521890792075;0.014560868828952477;0.00024843851989480995
0;1.923076073328654;0.0029941399892171225;0.3862981465164031;0.8201068411336566;10;10;{'max_depth': 10, 'n_estimators': 10};19;0.37412091941755987;0.8188806447841109;0.37374730263739653;0.8216911683137378;0.41104919897285663;0.8197487103031212;0.008628977258704224;5.520933288878889e-06;0.017494175118564357;0.0011750046514749156
14;2.832209746042887;0.003998597462972005;0.38456160212012247;0.8892868422849762;20;10;{'max_depth': 20, 'n_estimators': 10};20;0.3967263268152763;0.8914227448778175;0.37379233385048105;0.8839243694246803;0.3831648488020214;0.8925134125524308;0.03947689678085284;5.4518613453364365e-06;0.009416104970452517;0.003817894304209136
7;2.5865508715311685;0.003836393356323242;0.37519968003392434;0.880902232793973;15;10;{'max_depth': 15, 'n_estimators': 10};21;0.4028489957135013;0.8733810886970397;0.37123203781855274;0.877195039570931;0.35149599757951067;0.8921305701139484;0.029995700071665594;0.00023619144044457877;0.021150138350549897;0.008090868290670966
