;mean_fit_time;mean_score_time;mean_test_score;mean_train_score;param_activation;param_alpha;param_hidden_layer_sizes;params;rank_test_score;split0_test_score;split0_train_score;split1_test_score;split1_train_score;split2_test_score;split2_train_score;std_fit_time;std_score_time;std_test_score;std_train_score
38;4.669549942016602;0.015174229939778646;-0.001234112223117162;-0.0001269222673168091;logistic;0.01;(400, 100);{'activation': 'logistic', 'alpha': 0.01, 'hidden_layer_sizes': (400, 100)};28;-0.002497051609040346;-3.917392956931387e-05;-0.0011622259503718535;-0.0003258031107407078;-4.220957134215553e-05;-1.5789761640405686e-05;0.4147518487879352;0.0006243464841873029;0.0010034142591661915;0.00014095365015536802
26;4.881616989771525;0.024684667587280273;-0.001246772243486175;-0.0001844876381635515;logistic;0.0001;(400, 400);{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (400, 400)};29;-0.0009333663331794195;-0.000574927458897756;-0.0029274560440821773;0.00024438872856513694;0.00012148088067631681;-0.0002229241841580354;0.3590532636528225;0.0012501874321751243;0.0012642313521520907;0.00033558682911249873
39;8.837050755818685;0.01501162846883138;-0.001350819386427545;-0.00013201386855180944;logistic;0.01;(400, 100, 50);{'activation': 'logistic', 'alpha': 0.01, 'hidden_layer_sizes': (400, 100, 50)};30;-0.002890771430280603;-1.0243726582759294e-05;-0.0011288487472758124;-0.00034008179358924195;-3.189790939761572e-05;-4.5716085483427094e-05;0.7540089709452318;0.0004132675665160543;0.0011775717398334485;0.00014783722610477472
30;1.2530407905578613;0.005678335825602214;-0.0014728928103714522;-0.00010317689117541239;logistic;0.001;(100, 100);{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (100, 100)};31;-0.003594634049258527;2.5398331187975742e-05;-0.0008547568705039588;-0.00038944570833687747;3.178496033073852e-05;5.4516703622664586e-05;0.0681633285124658;0.0004760362866726551;0.0015435907989827643;0.00020277137645236413
34;59.803848107655845;0.03735971450805664;-0.0015542473713714296;-0.00021455693175183774;logistic;0.001;(600, 400, 200, 50);{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (600, 400, 200, 50)};32;-0.003826987230570511;-3.9814555586881184e-05;-0.0008253013467598436;-0.0005192086917349403;-9.352399954698498e-06;-8.464754793369167e-05;12.999689398940765;0.0004715389511856095;0.0016415062863477693;0.00021619747215033722
41;47.330208698908486;0.03819775581359863;-0.001557684278362158;-0.00021626561562785676;logistic;0.01;(600, 400, 200, 50);{'activation': 'logistic', 'alpha': 0.01, 'hidden_layer_sizes': (600, 400, 200, 50)};33;-0.0038171161735651715;-3.863634417977657e-05;-0.0008518816131788398;-0.0005007030125816492;-2.9468962525758258e-06;-0.00010945749012214455;3.1997608649702958;0.0008523660604174848;0.001635092343144484;0.00020319511685001112
33;4.45372748374939;0.022070884704589844;-0.001878317654607364;6.593373166482082e-05;logistic;0.001;(400, 400);{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (400, 400)};34;-0.0032023260302529444;0.00020154213256229347;-0.0025616225046862784;0.00015711373360416392;0.0001304273209215001;-0.00016085467117199492;0.29338945337341177;9.188018130951252e-05;0.0014437878208410993;0.00016138609069444004
32;9.276049693425497;0.015003124872843424;-0.0018883190052757454;-0.00015694806489618962;logistic;0.001;(400, 100, 50);{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (400, 100, 50)};35;-0.004068404807029635;-7.335559456156382e-05;-0.001584216319429732;-0.00016651077557261473;-1.0997812965651832e-05;-0.0002309778245543903;0.5611429326885161;0.0008208255583252497;0.0016702358895168603;6.470330194350535e-05
25;9.389693101247152;0.01467442512512207;-0.002008638166254371;-0.00012317461566372737;logistic;0.0001;(400, 100, 50);{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (400, 100, 50)};36;-0.0043103794133567686;-0.00011575084596349149;-0.0017129317040631697;-0.0001319730946196529;-1.1725434081455433e-06;-0.00012179990640803771;0.9609394664391551;0.0004677055510029451;0.0017715095032579033;6.693664019993921e-06
37;1.4590895175933838;0.00567928949991862;-0.002012757157396674;6.389447715645276e-05;logistic;0.01;(100, 100);{'activation': 'logistic', 'alpha': 0.01, 'hidden_layer_sizes': (100, 100)};37;-0.003324694855781018;4.8979504734036894e-05;-0.0028727901061258443;0.00010903831617203874;0.00016076268418696582;3.3665610563282655e-05;0.18655993757263528;0.00023882357320165366;0.0015474026799849041;3.2527972469523544e-05
24;4.936103105545044;0.014676650365193685;-0.002289111173229743;-0.00022188311302429042;logistic;0.0001;(400, 100);{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (400, 100)};38;-0.005473021352107255;-0.00041845772863524644;-0.0013073220542880737;-0.00024988218560229036;-8.541941353645832e-05;2.690575164665532e-06;0.3932542456456895;0.00047125832401147537;0.0023063521906738155;0.00017306922410277882
27;53.1586397488912;0.03635533650716146;-0.002521815177125587;-0.00027447103952852697;logistic;0.0001;(600, 400, 200, 50);{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (600, 400, 200, 50)};39;-0.005632664987630154;-0.000474726865107078;-0.0019124015176461562;-8.830417791116929e-05;-1.8594834837237784e-05;-0.0002603820755673336;5.7498394582204195;0.00047470611313345755;0.0023319729457995254;0.00015807065397906012
31;4.893955548604329;0.013672113418579102;-0.0025316319443497676;-0.00014288645893449173;logistic;0.001;(400, 100);{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (400, 100)};40;-0.00526003835961153;-0.0003503976596435088;-0.002320576247838657;-2.1815398995927993e-05;-1.2485683003715664e-05;-5.644631816403844e-05;0.6233624372795448;0.0009371773689786309;0.0021473710592788448;0.00014741211835164823
40;4.311641613642375;0.02365851402282715;-0.00268762660805149;-0.0001110267566805101;logistic;0.01;(400, 400);{'activation': 'logistic', 'alpha': 0.01, 'hidden_layer_sizes': (400, 400)};41;-0.005639809944281149;-0.0003634135897729873;-0.0018081020004063753;7.681766336531393e-05;-0.0006134895208873559;-4.6484343633856895e-05;0.2526341272083268;0.00025552339968883516;0.0021440774957304587;0.000185427760185907
23;1.3821511268615723;0.0060122013092041016;-0.002843992913522514;-3.538322215838422e-05;logistic;0.0001;(100, 100);{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100)};42;-0.00497015277491597;-0.00024475663554412996;-0.0034287987685741594;4.024895471343992e-05;-0.00013109355533957867;9.835801435553738e-05;0.08283104255994117;5.398307704207641e-06;0.002018252883647445;0.0001499379546739717
